회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)딘텍스코리아,078313,2015/12,14,제조업,,,100000,,,592078
(유)딘텍스코리아,078313,2016/12,14,제조업,,,100000,,,719125
(유)딘텍스코리아,078313,2019/12,14,제조업,,,100000,,,-1359596
(유)딘텍스코리아,078313,2020/12,14,제조업,,,100000,,,-3304941
(유)라온,093415,2019/12,46,도매 및 소매업,,,350000,,,220276
(유)라온,093415,2020/12,46,도매 및 소매업,,,350000,,,-379084
(유)로젠택배광주지점,100026,2020/12,49,운수 및 창고업,,,3310000,,,1245025
(유)로젠택배광주지점,100026,2021/12,49,운수 및 창고업,,,2510000,,,1199936
(유)로젠택배광주지점,100026,2022/12,49,운수 및 창고업,,,2510000,,,963425
(유)명지개발,093897,2019/12,68,부동산업,,,500000,,,-190528
(유)명지개발,093897,2020/12,68,부동산업,,,500000,,,16523749
(유)명지개발,093897,2021/12,68,부동산업,,,500000,,,411149
(유)명지개발,093897,2022/12,68,부동산업,,,500000,,,47571
(유)미르디앤씨,097915,2020/12,68,부동산업,,,50000,,,3111252
(유)미르디앤씨,097915,2021/12,68,부동산업,,,300000,,,-455793
(유)베스타스코리아윈드테크놀러지,096586,2019/12,46,도매 및 소매업,,,500000,,,8662667
(유)베스타스코리아윈드테크놀러지,096586,2020/12,46,도매 및 소매업,,,500000,,,13938272
(유)베스타스코리아윈드테크놀러지,096586,2021/12,46,도매 및 소매업,,,500000,,,4688277
(유)베스타스코리아윈드테크놀러지,096586,2022/12,46,도매 및 소매업,,,500000,,,-5816438
(유)보문특수칼라,094606,2019/12,18,제조업,,,400000,,,1431878
(유)보문특수칼라,094606,2020/12,18,제조업,,,400000,,,1038905
(유)보문특수칼라,094606,2021/12,18,제조업,,,400000,,,2881185
(유)보문특수칼라,094606,2022/12,18,제조업,,,400000,,,2320953
(유)브이피에이치아이,096625,2020/12,45,도매 및 소매업,3000000,3000000,3000000,27435531,20208773,20208773
(유)브이피에이치아이,096625,2021/12,45,도매 및 소매업,3000000,3000000,3000000,35106270,22047541,22047541
