회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)신합상사,096306,2019/12,46,도매 및 소매업,,,150000,,,849102
(유)신합상사,096306,2020/12,46,도매 및 소매업,,,150000,,,500000
(유)신합상사,096306,2021/12,46,도매 및 소매업,,,150000,,,-25006
(유)신합상사,096306,2022/12,46,도매 및 소매업,,,150000,,,866656
(유)신흥개발,097040,2019/12,68,부동산업,,,300000,,,884049
(유)신흥개발,097040,2020/12,68,부동산업,,,300000,,,-5583018
(유)실릭스,094862,2019/12,42,건설업,,,869300,,,3215482
(유)실릭스,094862,2020/12,42,건설업,,,869300,,,1579841
(유)실릭스,094862,2021/12,42,건설업,,,869300,,,1713262
(유)실릭스,094862,2022/12,42,건설업,,,869300,,,1443884
(유)아웃백스테이크하우스코리아,041907,2019/12,56,숙박 및 음식점업,,,1922700,,,16741691
(유)아웃백스테이크하우스코리아,041907,2020/12,56,숙박 및 음식점업,,,1922700,,,23696685
(유)아웃백스테이크하우스코리아,041907,2021/12,56,숙박 및 음식점업,,1922700,1922700,,48482989,48482989
(유)아웃백스테이크하우스코리아,041907,2022/12,56,숙박 및 음식점업,,1922700,1922700,,58934199,58934199
(유)에스아이지,058564,2012/12,29,제조업,,,4800000,,,6745840
(유)에스아이지,058564,2013/12,29,제조업,,,4800000,,,3598871
(유)에스아이지,058564,2014/12,29,제조업,,,4800000,,,3352541
(유)에스아이지,058564,2015/12,29,제조업,,,4800000,,,-447455
(유)에스아이지,058564,2019/12,29,제조업,,,4800000,,,11193115
(유)에스아이지,058564,2020/12,29,제조업,,,4800000,,,8264780
(유)에스아이지,058564,2021/12,29,제조업,,,4800000,,,6606093
(유)에스아이지,058564,2022/12,29,제조업,,,4800000,,,-89343
(유)에스케이씨에보닉페록사이드코리아,093338,2019/12,20,제조업,,,30621660,,,11161469
(유)에스케이씨에보닉페록사이드코리아,093338,2020/12,20,제조업,,,30621660,,,11977993
(유)에스케이씨에보닉페록사이드코리아,093338,2021/12,20,제조업,,,30621660,,,12489428
(유)에스케이씨에보닉페록사이드코리아,093338,2022/12,20,제조업,,,30621660,,,9387050
