회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)삼각에프엠씨,097307,2020/06,29,제조업,,,1812600,,,1107493
(유)삼각에프엠씨,097307,2021/06,29,제조업,,,2000000,,,-183722
(유)삼각에프엠씨,097307,2022/06,29,제조업,,,2000000,,,675400
(유)삼현개발,097520,2020/12,68,부동산업,,,300000,,,9802625
(유)삼현개발,097520,2021/12,68,부동산업,,,300000,,,2921737
(유)새천안교통,089201,2018/12,49,운수 및 창고업,,,5050000,,,-25081
(유)새천안교통,089201,2019/12,49,운수 및 창고업,,,5050000,,,-792260
(유)새천안교통,089201,2020/12,49,운수 및 창고업,,,5050000,,,-1587544
(유)새천안교통,089201,2021/12,49,운수 및 창고업,,,5050000,,,35688
(유)새천안교통,089201,2022/12,49,운수 및 창고업,,,5050000,,,-322818
(유)성문,093944,2019/12,31,제조업,,,317260,,,1266257
(유)성문,093944,2020/12,31,제조업,,,317260,,,1692411
(유)성문,093944,2021/12,31,제조업,,,317260,,,2937210
(유)성문,093944,2022/12,31,제조업,,,317260,,,1524227
(유)성우이앤씨,095499,2019/12,42,건설업,,,700000,,,1991984
(유)성우이앤씨,095499,2020/12,42,건설업,,,700000,,,2078822
(유)성우이앤씨,095499,2021/12,42,건설업,,,700000,,,4898607
(유)성우이앤씨,095499,2022/12,42,건설업,,,700000,,,3957743
(유)성진실업,102431,2021/12,23,제조업,,,620000,,,346754
(유)성진실업,102431,2022/12,23,제조업,,,990000,,,406929
(유)송정주류,093050,2019/12,46,도매 및 소매업,,,400000,,,609888
(유)송정주류,093050,2020/12,46,도매 및 소매업,,,400000,,,200329
(유)송정주류,093050,2021/12,46,도매 및 소매업,,,400000,,,-616565
(유)송정주류,093050,2022/12,46,도매 및 소매업,,,400000,,,475879
(유)스태츠칩팩코리아,026825,2019/12,26,제조업,,,133111740,,,15464032
(유)스태츠칩팩코리아,026825,2020/12,26,제조업,,,133111740,,,22247609
(유)스태츠칩팩코리아,026825,2021/12,26,제조업,,,133111740,,,48525731
(유)스태츠칩팩코리아,026825,2022/12,26,제조업,,,133111740,,,74602943
(의)소망의료재단가나안요양병원,099033,2020/12,86,보건업 및 사회복지 서비스업,,,2877587,,,153159
(의)소망의료재단가나안요양병원,099033,2021/12,86,보건업 및 사회복지 서비스업,,,2877587,,,284466
(의)소망의료재단가나안요양병원,099033,2022/12,86,보건업 및 사회복지 서비스업,,,2877587,,,-327037
(주)빅슨커뮤니케이션,045346,2014/12,59,정보통신업,,,800000,,,1079240
(주)빅슨커뮤니케이션,045346,2015/12,59,정보통신업,,,800000,,,1207714
(주)빅슨커뮤니케이션,045346,2016/12,59,정보통신업,,,800000,,,222609
(주)빅슨커뮤니케이션,045346,2017/12,59,정보통신업,,,800000,,,901344
(주)빅슨커뮤니케이션,045346,2018/12,59,정보통신업,,,800000,,,-466242
(주)빅슨커뮤니케이션,045346,2019/12,59,정보통신업,,,800000,,,-321200
(주)빅슨커뮤니케이션,045346,2020/12,59,정보통신업,,,800000,,,194641
