회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)포리코리아,038721,2020/12,27,제조업,,,880000,,,2528329
(유)포리코리아,038721,2021/12,27,제조업,,,880000,,,3840934
(유)포리코리아,038721,2022/12,27,제조업,,,880000,,,2222570
(유)프라이그파이스트,046117,2019/12,31,제조업,,,222500,,,3705920
(유)프라이그파이스트,046117,2020/12,31,제조업,,,222500,,,-75568
(유)프라이그파이스트,046117,2021/12,31,제조업,,,222500,,,-220957
(유)프라이그파이스트,046117,2022/12,31,제조업,,,222500,,,-1609726
(유)하늘산업,101984,2021/12,46,도매 및 소매업,,,500000,,,1181854
(유)하늘산업,101984,2022/12,46,도매 및 소매업,,,500000,,,889945
(유)하이코스,093414,2019/12,46,도매 및 소매업,,,606887,,,681517
(유)하이코스,093414,2020/12,46,도매 및 소매업,,,606887,,,109334
(유)하이코스,093414,2021/12,46,도매 및 소매업,,,606887,,,-180516
(유)한국그랜드유니버셜트레이딩,093599,2019/12,17,제조업,,,23350280,,,-4513543
(유)한국그랜드유니버셜트레이딩,093599,2020/12,17,제조업,,,35208280,,,-6330943
(유)한국그랜드유니버셜트레이딩,093599,2021/12,17,제조업,,,35208280,,,-10143959
(유)한국그랜드유니버셜트레이딩,093599,2022/12,17,제조업,,,35208280,,,-9227758
(유)한국비엠에스제약,018712,2019/12,46,도매 및 소매업,,,1679800,,,14240544
(유)한국비엠에스제약,018712,2020/12,46,도매 및 소매업,,,1679800,,,10020805
(유)한국비엠에스제약,018712,2021/12,46,도매 및 소매업,,,1679800,,,18893259
(유)한국비엠에스제약,018712,2022/12,46,도매 및 소매업,,,1679800,,,15287158
(유)한국타코닉,093116,2019/12,26,제조업,,,536515,,,10302969
(유)한국타코닉,093116,2020/12,26,제조업,,,536515,,,7384226
(유)한국타코닉,093116,2021/12,26,제조업,,,536515,,,3104613
(유)한국타코닉,093116,2022/12,26,제조업,,,536515,,,-2012820
(유)한성산기,095599,2019/12,29,제조업,,,1000000,,,278284
