회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
주식회사에이엔티,049301,2017/12,29,제조업,,,1000000,,,456955
주식회사에이엔티,049301,2018/12,29,제조업,,,1000000,,,456223
주식회사에이엔티,049301,2019/12,29,제조업,,,1000000,,,473935
주식회사에이엔티,049301,2020/12,29,제조업,,,1000000,,,838688
주식회사에이엔티,049301,2021/12,29,제조업,,,1000000,,,816801
주식회사에이엔티,049301,2022/12,29,제조업,,,1000000,,,1074829
주식회사에이엔피,089561,2018/12,22,제조업,,,300000,,,2635920
주식회사에이엔피,089561,2019/12,22,제조업,,,300000,,,959540
주식회사에이엔피,089561,2020/12,22,제조업,,,300000,,,1361503
주식회사에이엔피,089561,2021/12,22,제조업,,,300000,,,1354493
주식회사에이엔피,089561,2022/12,22,제조업,,,300000,,,923283
주식회사에이엔피개발,094178,2019/12,52,운수 및 창고업,,,200000,,,145998
주식회사에이엔피개발,094178,2020/12,52,운수 및 창고업,,,200000,,,74815
주식회사에이엔피개발,094178,2021/12,52,운수 및 창고업,,,200000,,,-650634
주식회사에이엔피개발,094178,2022/12,52,운수 및 창고업,,,200000,,,-807271
주식회사에이엘,105875,2021/12,91,"예술, 스포츠 및 여가관련 서비스업",,,2000000,,,-325996
주식회사에이엘,105875,2022/12,91,"예술, 스포츠 및 여가관련 서비스업",,,2000000,,,-450939
주식회사에이엘웍스,104677,2021/12,46,도매 및 소매업,,,100000,,,1727650
주식회사에이엘웍스,104677,2022/12,46,도매 및 소매업,,,100000,,,3520378
주식회사에이엘티,040740,2012/12,26,제조업,,,2933300,,,5056878
주식회사에이엘티,066871,2012/12,29,제조업,,,300000,,,327542
주식회사에이엘티,066871,2013/12,29,제조업,,,300000,,,55937
주식회사에이엘티,040740,2013/12,26,제조업,,,3016630,,,5930138
주식회사에이엘티,066871,2014/12,29,제조업,,,300000,,,899800
주식회사에이엘티,040740,2014/12,26,제조업,,,3016630,,,2386042
주식회사에이엘티,040740,2015/12,26,제조업,,,3016630,,,1183299
주식회사에이엘티,066871,2015/12,29,제조업,,,300000,,,582008
주식회사에이엘티,040740,2016/12,26,제조업,,,3016630,,,326742
주식회사에이엘티,066871,2016/12,29,제조업,,,300000,,,918955
주식회사에이엘티,066871,2017/12,29,제조업,,,300000,,,1843463
주식회사에이엘티,040740,2017/12,26,제조업,,,3199965,,,1538212
주식회사에이엘티,066871,2018/12,29,제조업,,,300000,,,1468104
주식회사에이엘티,040740,2018/12,26,제조업,,,3199965,,,3238981
주식회사에이엘티,093201,2019/12,26,제조업,,,1597685,,,-2616062
주식회사에이엘티,040740,2019/12,26,제조업,,,3199965,,,6567439
주식회사에이엘티,066871,2019/12,29,제조업,,,300000,,,3923613
주식회사에이엘티,040740,2020/12,26,제조업,,,3199965,,,7120348
주식회사에이엘티,093201,2020/12,26,제조업,,,1979345,,,714651
주식회사에이엘티,066871,2020/12,29,제조업,,,300000,,,2609581
주식회사에이엘티,040740,2021/12,26,제조업,3781336,3781336,3781336,5591579,4185148,4185148
