회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)유맥에프앤알,014534,2012/12,68,부동산업,,,1500000,,,1078114
(유)유맥에프앤알,014534,2013/12,68,부동산업,,,1500000,,,1464673
(유)유맥에프앤알,014534,2014/12,68,부동산업,,,1500000,,,1526416
(유)유맥에프앤알,014534,2015/12,68,부동산업,,,1500000,,,890788
(유)유맥에프앤알,014534,2016/12,68,부동산업,,,2291680,,,1951647
(유)유맥에프앤알,014534,2017/12,68,부동산업,,,100000,,,2888927
(유)유맥에프앤알,014534,2018/12,68,부동산업,,,42180,,,452616
(유)유맥에프앤알,014534,2019/12,68,부동산업,,,42180,,,401660
(유)유맥에프앤알,014534,2021/12,68,부동산업,,,257000,,,-414731
(유)유맥에프앤알,014534,2022/12,68,부동산업,,,257000,,,914715
(유)유혁,098170,2020/12,41,건설업,,,100000,,,8548503
(유)유혁,098170,2021/12,41,건설업,,,100000,,,1789298
(유)일토씨엔엠,096548,2019/12,41,건설업,,,210000,,,1804315
(유)일토씨엔엠,096548,2020/12,41,건설업,,,210000,,,3321670
(유)일토씨엔엠,096548,2021/12,41,건설업,,,210000,,,3918941
(유)일토씨엔엠,096548,2022/12,41,건설업,,,210000,,,5442413
(유)임페리얼스포츠,093104,2019/12,46,도매 및 소매업,,,300000,,,-888643
(유)임페리얼스포츠,093104,2020/12,46,도매 및 소매업,,,344600,,,-196024
(유)임페리얼스포츠,093104,2021/12,46,도매 및 소매업,,,344600,,,-514280
(유)임페리얼스포츠,093104,2022/12,46,도매 및 소매업,,,344600,,,1137760
(유)전일여객,096194,2019/12,49,운수 및 창고업,,,340000,,,-194467
(유)전일여객,096194,2020/12,49,운수 및 창고업,,,340000,,,-669418
