회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)대인계육유통,096685,2019/12,46,도매 및 소매업,,,100000,,,14707930
(유)대인계육유통,096685,2020/12,46,도매 및 소매업,,,100000,,,13833893
(유)대인계육유통,096685,2021/12,46,도매 및 소매업,,,100000,,,8910797
(유)대인계육유통,096685,2022/12,46,도매 및 소매업,,,100000,,,5801544
(유)대흥주택산업,099046,2020/12,68,부동산업,,,300000,,,1887379
(유)대흥주택산업,099046,2021/12,68,부동산업,,,300000,,,-1072708
(유)더밸류디프리마,106693,2021/12,68,부동산업,,,500000,,,-502031
(유)더밸류디프리마,106693,2022/12,68,부동산업,,,2500000,,,-1048562
(유)더본건설,094511,2019/12,41,건설업,,,1910000,,,2034575
(유)더본건설,094511,2020/12,41,건설업,,,1910000,,,2718221
(유)더본건설,094511,2021/12,41,건설업,,,1910000,,,346278
(유)동명정공,093691,2019/12,30,제조업,,,500000,,,783142
(유)동명정공,093691,2020/12,30,제조업,,,500000,,,495959
(유)동명정공,093691,2021/12,30,제조업,,,500000,,,484644
(유)동명정공,093691,2022/12,30,제조업,,,500000,,,1879627
(유)디에스브이에어앤씨인터내셔널,104275,2021/12,52,운수 및 창고업,,,300000,,,7946894
(유)디에스브이에어앤씨인터내셔널,104275,2022/12,52,운수 및 창고업,,,300000,,,32073545
(주)다우스틸,057239,2012/12,46,도매 및 소매업,,,948000,,,4485334
(주)다우스틸,057239,2013/12,46,도매 및 소매업,,,948000,,,2438105
(주)다우스틸,057239,2014/12,46,도매 및 소매업,,,948000,,,-140357
(주)다우스틸,057239,2015/12,46,도매 및 소매업,,,948000,,,-450042
(주)다우스틸,057239,2016/12,46,도매 및 소매업,,,948000,,,890723
(주)다우스틸,057239,2017/12,46,도매 및 소매업,,,948000,,,150142
(주)다우스틸,057239,2018/12,46,도매 및 소매업,,,948000,,,539712
(주)다우스틸,057239,2019/12,46,도매 및 소매업,,,948000,,,422209
(주)다우스틸,057239,2020/12,46,도매 및 소매업,,,948000,,,-261163
(주)다우스틸,057239,2021/12,46,도매 및 소매업,,,948000,,,2401611
(주)다우스틸,057239,2022/12,46,도매 및 소매업,,,948000,,,1067883
(주)다우아이앤씨,058288,2012/12,68,부동산업,,,1200000,,,-2050768
(주)다우아이앤씨,058288,2013/12,68,부동산업,,,1200000,,,-1247047
(주)다우아이콘스,088475,2017/12,46,도매 및 소매업,,,720000,,,-116080
(주)다우아이콘스,088475,2018/12,46,도매 및 소매업,,,720000,,,-92014
(주)다우아이콘스,088475,2019/12,46,도매 및 소매업,,,720000,,,-87895
(주)다우에프에이,059169,2012/12,46,도매 및 소매업,,,800000,,,1941678
(주)다우에프에이,059169,2013/12,46,도매 및 소매업,,,800000,,,2100302
(주)다우에프에이,059169,2014/12,46,도매 및 소매업,,,800000,,,1823077
(주)다우에프에이,059169,2015/12,46,도매 및 소매업,,,800000,,,2469670
(주)다우에프에이,059169,2016/12,46,도매 및 소매업,,,800000,,,2918073
(주)다우에프에이,059169,2017/12,46,도매 및 소매업,,,800000,,,3995274
(주)다우에프에이,059169,2018/12,46,도매 및 소매업,,,800000,,,3672802
(주)다우에프에이,059169,2019/12,46,도매 및 소매업,,,800000,,,-409717
(주)다우에프에이,059169,2020/12,46,도매 및 소매업,,,800000,,,2012161
(주)다우에프에이,059169,2021/12,46,도매 및 소매업,,,800000,,,789863
(주)다우에프에이,059169,2022/12,46,도매 및 소매업,,,800000,,,1197360
(주)다우와키움건설,057951,2012/12,41,건설업,,614090,614090,,-4626808,-4626808
(주)다우정밀,103848,2021/12,30,제조업,,,990000,,,157489
(주)다우정밀,103848,2022/12,30,제조업,,,990000,,,-290800
(주)다우종합건설,066599,2012/12,41,건설업,,,3591000,,,643503
(주)다우종합건설,066599,2013/12,41,건설업,,,2210000,,,-1046738
(주)다우진유전자연구소,076355,2015/12,72,"전문, 과학 및 기술 서비스업",,,50000,,,-183117
(주)다우진유전자연구소,076355,2016/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,-478338
(주)다우진유전자연구소,076355,2017/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,-337190
(주)다우진유전자연구소,076355,2018/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,74764
(주)다우진유전자연구소,076355,2019/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,258841
(주)다우진유전자연구소,076355,2020/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,66089
(주)다우진유전자연구소,076355,2021/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,59994
(주)다우진유전자연구소,076355,2022/12,72,"전문, 과학 및 기술 서비스업",,,1288950,,,-153098
(주)다우케이아이디기획,085228,2017/12,68,부동산업,,,230000,,,191695
(주)다우케이아이디기획,085228,2018/12,68,부동산업,,,230000,,,1268950
(주)다우케이아이디기획,085228,2019/12,68,부동산업,,,230000,,,-934003
(주)다우케이아이디홀딩스,086821,2017/12,68,부동산업,,,300000,,,-1157484
(주)다우케이아이디홀딩스,086821,2018/12,68,부동산업,,,300000,,,-1524863
(주)다우케이아이디홀딩스,086821,2019/12,68,부동산업,,,300000,,,7616219
