회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(주)주목,090959,2018/12,84,"공공 행정, 국방 및 사회보장 행정",,,600000,,,209103
(주)주목,090959,2019/12,84,"공공 행정, 국방 및 사회보장 행정",,,600000,,,176145
(주)주목씨지알,100652,2020/12,22,제조업,,,200000,,,641328
(주)주목씨지알,100652,2021/12,22,제조업,,,550000,,,1272303
(주)주목씨지알,100652,2022/12,22,제조업,,,550000,,,-56090
(주)주문진규사,090376,2018/12,23,제조업,,,2729390,,,311837
(주)주문진규사,090376,2019/12,23,제조업,,,2729390,,,694257
(주)주문진규사,090376,2020/12,23,제조업,,,2729390,,,482658
(주)주문진규사,090376,2021/12,23,제조업,,,1929390,,,176067
(주)주복,075843,2015/12,46,도매 및 소매업,,,100000,,,591529
(주)주복,075843,2016/12,46,도매 및 소매업,,,100000,,,688128
(주)주복,075843,2017/12,46,도매 및 소매업,,,100000,,,319494
(주)주복,075843,2018/12,46,도매 및 소매업,,,100000,,,386018
(주)주복,075843,2019/12,46,도매 및 소매업,,,100000,,,-493409
(주)주복,075843,2020/12,46,도매 및 소매업,,,100000,,,340771
(주)주복,075843,2021/12,46,도매 및 소매업,,,100000,,,960487
(주)주복,075843,2022/12,46,도매 및 소매업,,,100000,,,632189
(주)주산산업개발,081498,2016/12,68,부동산업,,,300000,,,-214219
(주)주산산업개발,081498,2017/12,68,부동산업,,,300000,,,-606872
(주)주산산업개발,081498,2018/12,68,부동산업,,,300000,,,-416967
(주)주산산업개발,081498,2019/12,68,부동산업,,,300000,,,771892
(주)주산산업개발,081498,2020/12,68,부동산업,,,300000,,,2985101
(주)주산산업개발,081498,2021/12,68,부동산업,,,300000,,,3779857
(주)주산산업개발,081498,2022/12,68,부동산업,,,300000,,,-741398
(주)주성알앤디,104893,2021/12,68,부동산업,,,350000,,,-313481
