회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)짐머바이오메트코리아,018711,2012/12,46,도매 및 소매업,,,540000,,,1134692
(유)짐머바이오메트코리아,018711,2013/12,46,도매 및 소매업,,,540000,,,1402348
(유)짐머바이오메트코리아,018711,2014/12,46,도매 및 소매업,,,540000,,,261162
(유)짐머바이오메트코리아,018711,2015/12,46,도매 및 소매업,,,540000,,,2719078
(유)짐머바이오메트코리아,018711,2016/12,46,도매 및 소매업,,,696635,,,1855740
(유)짐머바이오메트코리아,018711,2017/12,46,도매 및 소매업,,,696635,,,3274945
(유)짐머바이오메트코리아,018711,2019/12,46,도매 및 소매업,,,696635,,,4398147
(유)짐머바이오메트코리아,018711,2020/12,46,도매 및 소매업,,,696635,,,2530711
(유)짐머바이오메트코리아,018711,2021/12,46,도매 및 소매업,,,696635,,,2383660
(유)짐머바이오메트코리아,018711,2022/12,46,도매 및 소매업,,,696635,,,1913088
(유)청강건설,096132,2019/12,42,건설업,,,600000,,,-2867561
(유)청강건설,096132,2020/12,42,건설업,,,600000,,,1826315
(유)청강건설,096132,2021/12,42,건설업,,,600000,,,59407
(유)충무타올,096085,2019/12,13,제조업,,,2023565,,,413250
(유)충무타올,096085,2020/12,13,제조업,,,1963565,,,150812
(유)충무타올,096085,2021/12,13,제조업,,,1963565,,,246011
(유)충무타올,096085,2022/12,13,제조업,,,1963565,,,742765
(유)케이에스메디컬,102010,2021/12,46,도매 및 소매업,,,13618030,,,981171
(유)케이에스메디컬,102010,2022/12,46,도매 및 소매업,,,13618030,,,2176535
(유)케이원에너지,047069,2012/12,46,도매 및 소매업,,,1200000,,,804067
(유)케이원에너지,047069,2013/12,46,도매 및 소매업,,,1200000,,,846513
(유)케이원에너지,047069,2014/12,46,도매 및 소매업,,,1200000,,,444185
(유)케이원에너지,047069,2015/12,46,도매 및 소매업,,,1200000,,,1007887
(유)케이케이홀딩스,096189,2019/12,71,"전문, 과학 및 기술 서비스업",,,500000,,,307915
(유)케이케이홀딩스,096189,2020/12,71,"전문, 과학 및 기술 서비스업",,,500000,,,256598
(유)케이케이홀딩스,096189,2021/12,71,"전문, 과학 및 기술 서비스업",,,500000,,,67290
(유)케이케이홀딩스,096189,2022/12,71,"전문, 과학 및 기술 서비스업",,,500000,,,-1721319
(유)테일러메이드코리아,095584,2019/12,46,도매 및 소매업,,,15250050,,,5105142
(유)테일러메이드코리아,095584,2020/12,46,도매 및 소매업,,,15250050,,,3608892
(유)테일러메이드코리아,095584,2021/12,46,도매 및 소매업,,,15250050,,,3686517
(유)테일러메이드코리아,095584,2022/12,46,도매 및 소매업,,,15250050,,,6173294
(유)판토스홀딩스,078315,2015/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,-47014
(유)판토스홀딩스,078315,2016/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,1949206
(유)판토스홀딩스,078315,2019/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,-1895727
(유)판토스홀딩스,078315,2020/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,5888763
(유)판토스홀딩스,078315,2021/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,-590203
(유)판토스홀딩스,078315,2022/12,71,"전문, 과학 및 기술 서비스업",,,2000000,,,-1261206
(주)진달래,069461,2013/12,68,부동산업,,,500,,,-755835
(주)진달래,069461,2014/12,68,부동산업,,,500,,,-1558289
(주)진달래,069461,2015/12,68,부동산업,,,500,,,-1472800
(주)진달래,069461,2016/12,68,부동산업,,,500,,,-1230667
(주)진달래,069461,2017/12,68,부동산업,,,500,,,-1101154
(주)진달래,069461,2018/12,68,부동산업,,,500,,,-1055528
(주)진도레미콘,098424,2020/12,23,제조업,,,500500,,,629498
(주)진도레미콘,098424,2021/12,23,제조업,,,500500,,,-501354
(주)진도레미콘,098424,2022/12,23,제조업,,,750750,,,373409
(주)진도선파크,060022,2012/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,633410
(주)진도선파크,060022,2013/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,769064
(주)진도선파크,060022,2014/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,663446
(주)진도선파크,060022,2015/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,671069
(주)진도선파크,060022,2016/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,634926
(주)진도선파크,060022,2017/12,35,"전기, 가스, 증기 및 공기조절 공급업",,,793069,,,816195
(주)진도토건,090107,2018/12,41,건설업,,,2000000,,,1544756
(주)진도토건,090107,2019/12,41,건설업,,,2000000,,,1752271
(주)진도토건,090107,2020/12,41,건설업,,,2000000,,,1739719
(주)진도토건,090107,2021/12,41,건설업,,,2000000,,,1334352
(주)진도토건,090107,2022/12,41,건설업,,,2000000,,,1768838
(주)진두아이에스,052071,2012/12,62,정보통신업,,,2894835,,,1163312
(주)진두아이에스,052071,2013/12,62,정보통신업,,,2894835,,,2302071
(주)진두아이에스,052071,2014/12,62,정보통신업,,,2894835,,,1914367
(주)진두아이에스,052071,2015/12,62,정보통신업,,,2894835,,,2307661
(주)진두아이에스,052071,2016/12,62,정보통신업,,,2894835,,,2775445
(주)진두아이에스,052071,2017/12,62,정보통신업,,,2894835,,,2829132
(주)진두아이에스,052071,2018/12,62,정보통신업,,,2894835,,,2813301
(주)진명기업,044313,2012/12,31,제조업,,,100000,,,1394915
(주)진명기업,044313,2013/12,31,제조업,,,100000,,,-71399
(주)진명기업,044313,2014/12,31,제조업,,,100000,,,931962
(주)진명기업,044313,2015/12,31,제조업,,,100000,,,765065
(주)진명기업,044313,2016/12,31,제조업,,,100000,,,-276621
(주)진명기업,044313,2017/12,31,제조업,,,100000,,,-568189
(주)진명기업,044313,2018/12,31,제조업,,,100000,,,-31865
(주)진명기업,044313,2019/12,31,제조업,,,100000,,,-106643
(주)진명기업,044313,2020/12,31,제조업,,,100000,,,-18496
(주)진명기업,044313,2021/12,31,제조업,,,100000,,,-471807
(주)진명기업,044313,2022/12,31,제조업,,,100000,,,13652
(주)진명스탭스,096525,2019/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,1000000,,,310079
(주)진명스탭스,096525,2020/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,1000000,,,115601
