회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
(유)주영산업개발,093799,2019/12,41,건설업,,,839000,,,-1945926
(유)주영산업개발,093799,2020/12,41,건설업,,,839000,,,1462546
(유)주영산업개발,093799,2021/12,41,건설업,,,839000,,,7203398
(유)주영산업개발,093799,2022/12,41,건설업,,,839000,,,-406253
(유)중산MOTORS,105441,2021/12,45,도매 및 소매업,,,2000000,,,520843
(유)중산MOTORS,105441,2022/12,45,도매 및 소매업,,,2000000,,,971333
(주)주안,078796,2015/12,68,부동산업,,,300000,,,-511135
(주)주안,078796,2016/12,68,부동산업,,,300000,,,-3886076
(주)주안,084937,2017/12,24,제조업,,,300000,,,51234
(주)주안,078796,2017/12,68,부동산업,,,300000,,,3351364
(주)주안,084937,2018/12,24,제조업,,,300000,,,-1775223
(주)주안,078796,2018/12,68,부동산업,,,300000,,,3723208
(주)주안,078796,2019/12,68,부동산업,,,300000,,,-6410396
(주)주안,078796,2020/12,68,부동산업,,,300000,,,-2512386
(주)주안,078796,2021/12,68,부동산업,,,300000,,,-17992380
(주)주안디앤씨,064779,2012/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업",,,100000,,,906078
(주)주안디앤씨,078662,2015/12,68,부동산업,,,300000,,,899447
(주)주안디앤씨,078662,2016/12,68,부동산업,,,300000,,,892834
(주)주안디앤씨,078662,2019/12,68,부동산업,,,300000,,,-1239373
(주)주안디앤씨,078662,2020/12,68,부동산업,,,300000,,,-1249141
(주)주안디앤씨,078662,2021/12,68,부동산업,,,300000,,,-361895
(주)주연전자,098956,2020/12,26,제조업,,,200000,,,1007659
(주)주연전자,098956,2021/12,26,제조업,,,200000,,,1028219
(주)주영,085463,2017/12,28,제조업,,,50000,,,2710631
(주)주영,085463,2018/12,28,제조업,,,50000,,,5189046
(주)주영,085463,2019/12,28,제조업,,,50000,,,1919112
(주)주영,085463,2020/12,28,제조업,,,50000,,,3604144
(주)주영,085463,2021/12,28,제조업,,,50000,,,5825920
(주)주영,085463,2022/12,28,제조업,,50000,50000,,1256831,1256831
(주)주영디벨로퍼,105971,2021/12,68,부동산업,,,15000,,,-250001
(주)주영디벨로퍼,105971,2022/12,68,부동산업,,,15000,,,-4905
(주)주영메카트로닉스,103100,2021/12,25,제조업,,,200000,,,83814
(주)주영메카트로닉스,103100,2022/12,25,제조업,,,200000,,,206514
(주)주영아이엔씨,041242,2012/12,74,"사업시설 관리, 사업 지원 및 임대 서비스업",,,250000,,,217
(주)주영토건,089235,2018/12,41,건설업,,,600000,,,675258
(주)주영토건,089235,2019/12,41,건설업,,,600000,,,3386252
(주)주영토건,089235,2020/12,41,건설업,,,600000,,,-658001
(주)주영토건,089235,2021/12,41,건설업,,,600000,,,1976864
(주)주영토건,089235,2022/12,41,건설업,,,600000,,,-281623
(주)주영페이퍼텍,070977,2013/12,17,제조업,,,579330,,,755583
(주)주영페이퍼텍,070977,2014/12,17,제조업,,,579330,,,925036
(주)주영페이퍼텍,070977,2015/12,17,제조업,,,579330,,,754159
(주)주영페이퍼텍,070977,2016/12,17,제조업,,,579330,,,277912
(주)주영페이퍼텍,070977,2017/12,17,제조업,,,537660,,,838388
(주)주영페이퍼텍,070977,2018/12,17,제조업,,,496000,,,-1043873
(주)주영페이퍼텍,070977,2019/12,17,제조업,,,496000,,,392310
(주)주영페이퍼텍,070977,2020/12,17,제조업,,,496000,,,271761
(주)주영페이퍼텍,070977,2021/12,17,제조업,,,496000,,,440466
(주)주영페이퍼텍,070977,2022/12,17,제조업,,,496000,,,130137
(주)주원,044228,2012/12,28,제조업,,,3700000,,,-2503233
(주)주원,044228,2013/12,28,제조업,,,3700000,,,-1499587
(주)주원,093113,2019/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업",,,100000,,,-200652
(주)주원,093113,2020/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업",,,100000,,,97252
(주)주원,106867,2021/12,38,"수도, 하수 및 폐기물 처리, 원료 재생업",,,700000,,,1941294
(주)주원,093113,2021/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업",,,150000,,,110450
(주)주원,106867,2022/12,38,"수도, 하수 및 폐기물 처리, 원료 재생업",,,700000,,,5379393
(주)주원텍,081394,2016/12,30,제조업,,,400000,,,272758
(주)주원텍,081394,2017/12,30,제조업,,,400000,,,143196
(주)주원텍,081394,2018/12,30,제조업,,,400000,,,-149624
(주)주원파트너스,104332,2021/12,66,금융 및 보험업,,,5000,,,0
(주)주원파트너스,104332,2022/12,66,금융 및 보험업,,,5000,,,-3004
(주)주은,064953,2012/12,68,부동산업,,,50000,,,-155972
(주)주은,064953,2013/12,68,부동산업,,,50000,,,-189697
(주)주은,064953,2014/12,68,부동산업,,,50000,,,-162720
(주)주은,064953,2015/12,68,부동산업,,,50000,,,-147483
(주)주은,064953,2016/12,68,부동산업,,,50000,,,-124993
(주)주은,064953,2017/12,68,부동산업,,,50000,,,-153582
(주)주은,064953,2018/12,68,부동산업,,,40000,,,-74243
(주)주은,064953,2019/12,68,부동산업,,,40000,,,-112331
(주)주은,064953,2020/12,68,부동산업,,,40000,,,-190280
(주)주은,064953,2021/12,68,부동산업,,,40000,,,-314763
(주)주은,064953,2022/12,68,부동산업,,,40000,,,-417890
(주)주은씨앤시,106470,2021/12,41,건설업,,,300000,,,-703665
(주)주은씨앤시,106470,2022/12,41,건설업,,,300000,,,-140496
(주)주은인더스트리,089097,2018/12,28,제조업,,,400000,,,341047
(주)주은인더스트리,089097,2019/12,28,제조업,,,400000,,,464866
(주)주주콘크리트,092311,2018/12,23,제조업,,,400000,,,249848
(주)주주콘크리트,092311,2019/12,23,제조업,,,400000,,,1703260
(주)주주콘크리트,092311,2020/12,23,제조업,,,400000,,,1870837
(주)주주콘크리트,092311,2021/12,23,제조업,,,400000,,,3091968
(주)주주콘크리트,092311,2022/12,23,제조업,,,400000,,,1316484
(주)주피터인터내셔널,052960,2012/12,46,도매 및 소매업,,,300000,,,4969806
(주)주피터인터내셔널,052960,2013/12,46,도매 및 소매업,,,300000,,,6193585
(주)주피터인터내셔널,052960,2014/12,46,도매 및 소매업,,,300000,,,6847371
(주)주피터인터내셔널,052960,2015/12,46,도매 및 소매업,,,300000,,,6862422
(주)주피터인터내셔널,052960,2016/12,46,도매 및 소매업,,,300000,,,7296594
(주)주피터인터내셔널,052960,2017/12,46,도매 및 소매업,,,300000,,,8009715
(주)주피터인터내셔널,052960,2018/12,46,도매 및 소매업,,,300000,,,8438358
(주)주피터인터내셔널,052960,2019/12,46,도매 및 소매업,,,300000,,,7203658
(주)주피터인터내셔널,052960,2020/12,46,도매 및 소매업,,,300000,,,8462042
