회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),자본금(*)(IFRS연결)(천원),자본금(*)(IFRS)(천원),자본금(*)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),영업이익(손실)(천원)
주식회사미코,102675,2021/12,20,제조업,,,100000,,,5262821
주식회사미코,102675,2022/12,20,제조업,,,100000,,,4257968
주식회사미코세라믹스,096034,2020/12,29,제조업,,2373563,2373563,,9261583,9261583
주식회사미코세라믹스,096034,2021/12,29,제조업,,2723563,2723563,,15592443,15592443
주식회사미코세라믹스,096034,2022/12,29,제조업,,2723563,2723563,,24560359,24560359
주식회사미코통상,075939,2015/12,46,도매 및 소매업,,,50000,,,-417260
주식회사미코통상,075939,2016/12,46,도매 및 소매업,,,50000,,,-180619
주식회사미코파워,097612,2021/12,28,제조업,,1216203,1216203,,-5100725,-5100725
주식회사미코파워,097612,2022/12,28,제조업,,1216203,1216203,,-13149591,-13149591
주식회사미크로,059375,2012/12,33,제조업,,,400000,,,-1885524
주식회사미크로,059375,2013/12,33,제조업,,,400000,,,358124
주식회사미크로,059375,2014/12,33,제조업,,,400000,,,152320
주식회사미크로,059375,2015/12,33,제조업,,,400000,,,-378544
주식회사미크로,059375,2016/12,33,제조업,,,400000,,,-1326140
주식회사미크로,059375,2017/12,33,제조업,,,400000,,,420824
주식회사미크로,059375,2018/12,33,제조업,,,400000,,,-607474
주식회사미탐시티,077647,2015/12,68,부동산업,,,50000,,,24937
주식회사미탐시티,077647,2016/12,68,부동산업,,,1000000,,,533732
주식회사미탐시티,077647,2017/12,68,부동산업,,,995000,,,422172
주식회사미탐시티,077647,2018/12,68,부동산업,,,995000,,,504011
주식회사미탐시티,077647,2019/12,68,부동산업,,,995000,,,264682
주식회사미토이뮨테라퓨틱스,104138,2022/12,70,"전문, 과학 및 기술 서비스업",,3367551,3367551,,-10454621,-10454621
주식회사미트라인,070987,2013/12,46,도매 및 소매업,,,500000,,,131661
주식회사미트라인,070987,2014/12,46,도매 및 소매업,,,500000,,,-335213
주식회사미트라인,070987,2015/12,46,도매 및 소매업,,,500000,,,3931
주식회사미트라인,070987,2016/12,46,도매 및 소매업,,,500000,,,223684
주식회사미트박스글로벌,092785,2019/12,47,도매 및 소매업,217500,217500,217500,-4999516,-4677491,-4677491
주식회사미트박스글로벌,092785,2020/12,47,도매 및 소매업,217500,217500,217500,-2274436,-2256856,-2256856
주식회사미트박스글로벌,092785,2021/12,47,도매 및 소매업,218749,218749,218749,-558718,-480554,-480554
주식회사미트박스글로벌,092785,2022/12,47,도매 및 소매업,218749,218749,218749,943108,1188182,1188182
주식회사미트스파클,106757,2021/12,46,도매 및 소매업,,,50000,,,525406
주식회사미트스파클,106757,2022/12,46,도매 및 소매업,,,50000,,,254857
주식회사미트카운티,079018,2015/12,46,도매 및 소매업,,,100000,,,807985
주식회사미트카운티,079018,2016/12,46,도매 및 소매업,,,100000,,,878948
주식회사미트카운티,079018,2017/12,46,도매 및 소매업,,,100000,,,427302
주식회사미티오글로벌,096601,2019/12,28,제조업,,,100000,,,-299606
주식회사미티오글로벌,096601,2020/12,28,제조업,,,100000,,,1967318
주식회사미티오글로벌,096601,2021/12,28,제조업,,,100000,,,1509996
주식회사미티오글로벌,096601,2022/12,28,제조업,,,100000,,,-840597
주식회사미팩토리,104361,2022/12,46,도매 및 소매업,,10237,10237,,817303,817303
주식회사미페이스,086023,2017/12,20,제조업,,,100000,,,238031
주식회사미페이스,086023,2018/12,20,제조업,,,600000,,,899365
주식회사민,073488,2015/12,55,숙박 및 음식점업,,,100000,,,-587342
주식회사민,073488,2016/12,55,숙박 및 음식점업,,,100000,,,-171272
주식회사민,073488,2017/12,55,숙박 및 음식점업,,,100000,,,-780638
주식회사민,073488,2018/12,55,숙박 및 음식점업,,,100000,,,-498720
주식회사민,073488,2019/12,55,숙박 및 음식점업,,,100000,,,-423495
주식회사민,073488,2020/12,55,숙박 및 음식점업,,,100000,,,-860239
